protocol,model,fold,held_out_artist,train_rows,test_rows,train_positive,train_negative,test_positive,test_negative,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
stratified_5_fold,dummy_prior,1,,92,23,24,68,6,17,0.7391304347826086,0.5,0.0,0.0,1.0,0.0,0.5,0.2608695652173913,17,0,6,0
stratified_5_fold,dummy_prior,2,,92,23,24,68,6,17,0.7391304347826086,0.5,0.0,0.0,1.0,0.0,0.5,0.2608695652173913,17,0,6,0
stratified_5_fold,dummy_prior,3,,92,23,24,68,6,17,0.7391304347826086,0.5,0.0,0.0,1.0,0.0,0.5,0.2608695652173913,17,0,6,0
stratified_5_fold,dummy_prior,4,,92,23,24,68,6,17,0.7391304347826086,0.5,0.0,0.0,1.0,0.0,0.5,0.2608695652173913,17,0,6,0
stratified_5_fold,dummy_prior,5,,92,23,24,68,6,17,0.7391304347826086,0.5,0.0,0.0,1.0,0.0,0.5,0.2608695652173913,17,0,6,0
stratified_5_fold,logistic_regression_balanced,1,,92,23,24,68,6,17,0.43478260869565216,0.4019607843137255,0.18181818181818182,0.3333333333333333,0.47058823529411764,0.23529411764705882,0.5392156862745098,0.42387820512820507,8,9,4,2
stratified_5_fold,logistic_regression_balanced,2,,92,23,24,68,6,17,0.5652173913043478,0.4901960784313726,0.25,0.3333333333333333,0.6470588235294118,0.2857142857142857,0.5392156862745098,0.4160350678733032,11,6,4,2
stratified_5_fold,logistic_regression_balanced,3,,92,23,24,68,6,17,0.6086956521739131,0.5735294117647058,0.3333333333333333,0.5,0.6470588235294118,0.4,0.5882352941176471,0.4219246031746032,11,6,3,3
stratified_5_fold,logistic_regression_balanced,4,,92,23,24,68,6,17,0.7391304347826086,0.7696078431372549,0.5,0.8333333333333334,0.7058823529411765,0.625,0.7549019607843137,0.4888888888888888,12,5,1,5
stratified_5_fold,logistic_regression_balanced,5,,92,23,24,68,6,17,0.5217391304347826,0.4607843137254902,0.2222222222222222,0.3333333333333333,0.5882352941176471,0.26666666666666666,0.607843137254902,0.34720736779560313,10,7,4,2
stratified_5_fold,random_forest_balanced,1,,92,23,24,68,6,17,0.5217391304347826,0.5147058823529411,0.2727272727272727,0.5,0.5294117647058824,0.35294117647058826,0.6568627450980392,0.4082264957264957,9,8,3,3
stratified_5_fold,random_forest_balanced,2,,92,23,24,68,6,17,0.6956521739130435,0.6323529411764706,0.42857142857142855,0.5,0.7647058823529411,0.46153846153846156,0.5686274509803921,0.36559454191033136,13,4,3,3
stratified_5_fold,random_forest_balanced,3,,92,23,24,68,6,17,0.6956521739130435,0.6862745098039216,0.4444444444444444,0.6666666666666666,0.7058823529411765,0.5333333333333333,0.6764705882352942,0.4269841269841269,12,5,2,4
stratified_5_fold,random_forest_balanced,4,,92,23,24,68,6,17,0.6086956521739131,0.5735294117647058,0.3333333333333333,0.5,0.6470588235294118,0.4,0.7450980392156863,0.5352813852813852,11,6,3,3
stratified_5_fold,random_forest_balanced,5,,92,23,24,68,6,17,0.5217391304347826,0.4607843137254902,0.2222222222222222,0.3333333333333333,0.5882352941176471,0.26666666666666666,0.5490196078431373,0.41246947496947495,10,7,4,2
leave_one_artist_out,dummy_prior,1,ساسی مانکن,100,15,28,72,2,13,0.8666666666666667,0.5,0.0,0.0,1.0,0.0,0.5,0.13333333333333333,13,0,2,0
leave_one_artist_out,dummy_prior,2,سهراب پاکزاد,102,13,29,73,1,12,0.9230769230769231,0.5,0.0,0.0,1.0,0.0,0.5,0.07692307692307693,12,0,1,0
leave_one_artist_out,dummy_prior,3,علیرضا قربانی,106,9,26,80,4,5,0.5555555555555556,0.5,0.0,0.0,1.0,0.0,0.5,0.4444444444444444,5,0,4,0
leave_one_artist_out,dummy_prior,4,فرزاد فرزین,96,19,29,67,1,18,0.9473684210526315,0.5,0.0,0.0,1.0,0.0,0.5,0.05263157894736842,18,0,1,0
leave_one_artist_out,dummy_prior,5,محسن چاووشی,94,21,17,77,13,8,0.38095238095238093,0.5,0.0,0.0,1.0,0.0,0.5,0.6190476190476191,8,0,13,0
leave_one_artist_out,dummy_prior,6,محسن یگانه,103,12,26,77,4,8,0.6666666666666666,0.5,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,8,0,4,0
leave_one_artist_out,dummy_prior,7,همایون شجریان,107,8,29,78,1,7,0.875,0.5,0.0,0.0,1.0,0.0,0.5,0.125,7,0,1,0
leave_one_artist_out,dummy_prior,8,هیچکس,108,7,26,82,4,3,0.42857142857142855,0.5,0.0,0.0,1.0,0.0,0.5,0.5714285714285714,3,0,4,0
leave_one_artist_out,dummy_prior,9,گرشا رضایی,104,11,30,74,0,11,1.0,1.0,0.0,0.0,1.0,0.0,,,11,0,0,0
leave_one_artist_out,logistic_regression_balanced,1,ساسی مانکن,100,15,28,72,2,13,0.13333333333333333,0.5,0.13333333333333333,1.0,0.0,0.23529411764705882,0.6153846153846154,0.26666666666666666,0,13,0,2
leave_one_artist_out,logistic_regression_balanced,2,سهراب پاکزاد,102,13,29,73,1,12,0.5384615384615384,0.75,0.14285714285714285,1.0,0.5,0.25,0.75,0.25,6,6,0,1
leave_one_artist_out,logistic_regression_balanced,3,علیرضا قربانی,106,9,26,80,4,5,0.5555555555555556,0.5,0.0,0.0,1.0,0.0,0.5,0.6071428571428572,5,0,4,0
leave_one_artist_out,logistic_regression_balanced,4,فرزاد فرزین,96,19,29,67,1,18,0.7894736842105263,0.4166666666666667,0.0,0.0,0.8333333333333334,0.0,0.7222222222222222,0.16666666666666666,15,3,1,0
leave_one_artist_out,logistic_regression_balanced,5,محسن چاووشی,94,21,17,77,13,8,0.38095238095238093,0.47596153846153844,0.5,0.07692307692307693,0.875,0.13333333333333333,0.6634615384615385,0.7168139777451519,7,1,12,1
leave_one_artist_out,logistic_regression_balanced,6,محسن یگانه,103,12,26,77,4,8,0.5833333333333334,0.6875,0.4444444444444444,1.0,0.375,0.6153846153846154,0.8125,0.7095238095238094,3,5,0,4
leave_one_artist_out,logistic_regression_balanced,7,همایون شجریان,107,8,29,78,1,7,0.375,0.6428571428571428,0.16666666666666666,1.0,0.2857142857142857,0.2857142857142857,0.8571428571428572,0.5,2,5,0,1
leave_one_artist_out,logistic_regression_balanced,8,هیچکس,108,7,26,82,4,3,0.42857142857142855,0.5,0.0,0.0,1.0,0.0,0.4166666666666667,0.6845238095238095,3,0,4,0
leave_one_artist_out,logistic_regression_balanced,9,گرشا رضایی,104,11,30,74,0,11,0.9090909090909091,0.9090909090909091,0.0,0.0,0.9090909090909091,0.0,,,10,1,0,0
leave_one_artist_out,random_forest_balanced,1,ساسی مانکن,100,15,28,72,2,13,0.26666666666666666,0.3653846153846154,0.09090909090909091,0.5,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.31666666666666665,3,10,1,1
