threshold,balanced_accuracy,precision,recall_sensitivity,specificity,f1,tn,fp,fn,tp,distance_from_default_threshold,outer_fold,selected_threshold
0.2,0.5735294117647058,0.2926829268292683,1.0,0.14705882352941177,0.4528301886792453,10,58,0,24,0.3,1,0
0.25,0.6029411764705882,0.3076923076923077,1.0,0.20588235294117646,0.47058823529411764,14,54,0,24,0.25,1,0
0.3,0.5845588235294118,0.30434782608695654,0.875,0.29411764705882354,0.45161290322580644,20,48,3,21,0.2,1,0
0.35,0.6151960784313726,0.32786885245901637,0.8333333333333334,0.39705882352941174,0.47058823529411764,27,41,4,20,0.15000000000000002,1,1
0.4,0.6115196078431373,0.34,0.7083333333333334,0.5147058823529411,0.4594594594594595,35,33,7,17,0.09999999999999998,1,0
0.45,0.5588235294117647,0.3157894736842105,0.5,0.6176470588235294,0.3870967741935484,42,26,12,12,0.04999999999999999,1,0
0.5,0.5526960784313726,0.3142857142857143,0.4583333333333333,0.6470588235294118,0.3728813559322034,44,24,13,11,0.0,1,0
0.55,0.49264705882352944,0.25,0.25,0.7352941176470589,0.25,50,18,18,6,0.050000000000000044,1,0
0.6,0.5024509803921569,0.26666666666666666,0.16666666666666666,0.8382352941176471,0.20512820512820512,57,11,20,4,0.09999999999999998,1,0
0.2,0.5955882352941176,0.3037974683544304,1.0,0.19117647058823528,0.46601941747572817,13,55,0,24,0.3,2,0
0.25,0.6323529411764706,0.32432432432432434,1.0,0.2647058823529412,0.4897959183673469,18,50,0,24,0.25,2,0
0.3,0.633578431372549,0.32857142857142857,0.9583333333333334,0.3088235294117647,0.48936170212765956,21,47,1,23,0.2,2,0
0.35,0.6495098039215685,0.34375,0.9166666666666666,0.38235294117647056,0.5,26,42,2,22,0.15000000000000002,2,1
0.4,0.6029411764705882,0.32727272727272727,0.75,0.45588235294117646,0.45569620253164556,31,37,6,18,0.09999999999999998,2,0
0.45,0.5906862745098038,0.32653061224489793,0.6666666666666666,0.5147058823529411,0.4383561643835616,35,33,8,16,0.04999999999999999,2,0
0.5,0.5453431372549019,0.3055555555555556,0.4583333333333333,0.6323529411764706,0.36666666666666664,43,25,13,11,0.0,2,0
0.55,0.4852941176470588,0.24,0.25,0.7205882352941176,0.24489795918367346,49,19,18,6,0.050000000000000044,2,0
0.6,0.43259803921568624,0.07692307692307693,0.041666666666666664,0.8235294117647058,0.05405405405405406,56,12,23,1,0.09999999999999998,2,0
0.2,0.5367647058823529,0.27586206896551724,1.0,0.07352941176470588,0.43243243243243246,5,63,0,24,0.3,3,0
0.25,0.5600490196078431,0.2875,0.9583333333333334,0.16176470588235295,0.4423076923076923,11,57,1,23,0.25,3,0
0.3,0.5980392156862745,0.30985915492957744,0.9166666666666666,0.27941176470588236,0.4631578947368421,19,49,2,22,0.2,3,0
0.35,0.5943627450980392,0.31666666666666665,0.7916666666666666,0.39705882352941174,0.4523809523809524,27,41,5,19,0.15000000000000002,3,0
0.4,0.6605392156862745,0.37254901960784315,0.7916666666666666,0.5294117647058824,0.5066666666666667,36,32,5,19,0.09999999999999998,3,0
0.45,0.6899509803921569,0.40425531914893614,0.7916666666666666,0.5882352941176471,0.5352112676056338,40,28,5,19,0.04999999999999999,3,1
0.5,0.6237745098039216,0.3939393939393939,0.5416666666666666,0.7058823529411765,0.45614035087719296,48,20,11,13,0.0,3,0
0.55,0.6470588235294117,0.46153846153846156,0.5,0.7941176470588235,0.48,54,14,12,12,0.050000000000000044,3,0
0.6,0.6004901960784313,0.47058823529411764,0.3333333333333333,0.8676470588235294,0.3902439024390244,59,9,16,8,0.09999999999999998,3,0
0.2,0.5735294117647058,0.2926829268292683,1.0,0.14705882352941177,0.4528301886792453,10,58,0,24,0.3,4,0
0.25,0.5882352941176471,0.3,1.0,0.17647058823529413,0.46153846153846156,12,56,0,24,0.25,4,0
0.3,0.633578431372549,0.32857142857142857,0.9583333333333334,0.3088235294117647,0.48936170212765956,21,47,1,23,0.2,4,0
0.35,0.642156862745098,0.3384615384615385,0.9166666666666666,0.36764705882352944,0.4943820224719101,25,43,2,22,0.15000000000000002,4,0
0.4,0.6384803921568627,0.35185185185185186,0.7916666666666666,0.4852941176470588,0.48717948717948717,33,35,5,19,0.09999999999999998,4,0
0.45,0.6629901960784315,0.3953488372093023,0.7083333333333334,0.6176470588235294,0.5074626865671642,42,26,7,17,0.04999999999999999,4,1
0.5,0.6029411764705883,0.375,0.5,0.7058823529411765,0.42857142857142855,48,20,12,12,0.0,4,0
0.55,0.5294117647058824,0.3157894736842105,0.25,0.8088235294117647,0.27906976744186046,55,13,18,6,0.050000000000000044,4,0
0.6,0.4963235294117647,0.25,0.125,0.8676470588235294,0.16666666666666666,59,9,21,3,0.09999999999999998,4,0
0.2,0.5159313725490197,0.26744186046511625,0.9583333333333334,0.07352941176470588,0.41818181818181815,5,63,1,23,0.3,5,0
0.25,0.5821078431372549,0.2987012987012987,0.9583333333333334,0.20588235294117646,0.45544554455445546,14,54,1,23,0.25,5,0
0.3,0.5980392156862745,0.30985915492957744,0.9166666666666666,0.27941176470588236,0.4631578947368421,19,49,2,22,0.2,5,0
0.35,0.6715686274509803,0.36065573770491804,0.9166666666666666,0.4264705882352941,0.5176470588235295,29,39,2,22,0.15000000000000002,5,0
0.4,0.704656862745098,0.4222222222222222,0.7916666666666666,0.6176470588235294,0.5507246376811594,42,26,5,19,0.09999999999999998,5,1
0.45,0.6715686274509804,0.42105263157894735,0.6666666666666666,0.6764705882352942,0.5161290322580645,46,22,8,16,0.04999999999999999,5,0
0.5,0.6102941176470589,0.3870967741935484,0.5,0.7205882352941176,0.43636363636363634,49,19,12,12,0.0,5,0
0.55,0.5563725490196079,0.34782608695652173,0.3333333333333333,0.7794117647058824,0.3404255319148936,53,15,16,8,0.050000000000000044,5,0
0.6,0.4877450980392157,0.23529411764705882,0.16666666666666666,0.8088235294117647,0.1951219512195122,55,13,20,4,0.09999999999999998,5,0
