analysis_type,feature,feature_value,group_name,group_value,count,median_performance,mean_performance,high_or_top_rate,spearman_correlation,high_or_top_rate_percent,strategy_analysis_version
binary_feature_summary,is_iran_weekend_release,0.0,global,all,73,53.95,52.33027397260274,0.2465753424657534,,24.65753424657534,STRATEGY_PATTERN_V1
binary_feature_summary,is_iran_weekend_release,1.0,global,all,42,45.75,49.521190476190476,0.2857142857142857,,28.57142857142857,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_official,0.0,global,all,81,50.0,50.24518518518518,0.25925925925925924,,25.925925925925924,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_official,1.0,global,all,34,55.565,53.82764705882353,0.2647058823529412,,26.47058823529412,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_music_video,0.0,global,all,89,54.55,54.23606741573033,0.33707865168539325,,33.70786516853933,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_music_video,1.0,global,all,26,42.105000000000004,41.268846153846155,0.0,,0.0,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_lyric_video,0.0,global,all,103,50.0,50.14038834951455,0.23300970873786409,,23.300970873786408,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_lyric_video,1.0,global,all,12,71.055,61.294999999999995,0.5,,50.0,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_visual,0.0,global,all,114,51.975,51.395526315789475,0.2631578947368421,,26.31578947368421,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_visual,1.0,global,all,1,40.91,40.91,0.0,,0.0,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_clip,0.0,global,all,111,51.32,50.94621621621621,0.26126126126126126,,26.126126126126124,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_clip,1.0,global,all,4,56.69499999999999,61.2425,0.25,,25.0,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_soundtrack,0.0,global,all,113,51.32,51.11920353982301,0.25663716814159293,,25.663716814159294,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_soundtrack,1.0,global,all,2,61.765,61.765,0.5,,50.0,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_alternative_version,0.0,global,all,114,50.66,51.1888596491228,0.2631578947368421,,26.31578947368421,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_alternative_version,1.0,global,all,1,64.47,64.47,0.0,,0.0,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_collaboration,0.0,global,all,108,49.34,50.31898148148148,0.25,,25.0,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_collaboration,1.0,global,all,7,64.71,66.50714285714285,0.42857142857142855,,42.857142857142854,STRATEGY_PATTERN_V1
binary_feature_summary,title_contains_persian,0.0,global,all,29,54.55,54.64586206896552,0.3103448275862069,,31.03448275862069,STRATEGY_PATTERN_V1
binary_feature_summary,title_contains_persian,1.0,global,all,86,50.66,50.1775581395349,0.2441860465116279,,24.418604651162788,STRATEGY_PATTERN_V1
binary_feature_summary,title_contains_latin,1.0,global,all,115,51.32,51.30434782608695,0.2608695652173913,,26.08695652173913,STRATEGY_PATTERN_V1
binary_feature_summary,title_is_bilingual,0.0,global,all,29,54.55,54.64586206896552,0.3103448275862069,,31.03448275862069,STRATEGY_PATTERN_V1
binary_feature_summary,title_is_bilingual,1.0,global,all,86,50.66,50.1775581395349,0.2441860465116279,,24.418604651162788,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_separator,0.0,global,all,5,27.27,36.46600000000001,0.2,,20.0,STRATEGY_PATTERN_V1
binary_feature_summary,title_has_separator,1.0,global,all,110,52.785,51.97881818181818,0.2636363636363636,,26.36363636363636,STRATEGY_PATTERN_V1
continuous_feature_correlation,release_hour_tehran,,global,all,115,,,,0.1110623358313893,,STRATEGY_PATTERN_V1
continuous_feature_correlation,days_since_previous_release,,global,all,106,,,,0.11120291812075599,,STRATEGY_PATTERN_V1
continuous_feature_correlation,title_character_count,,global,all,115,,,,0.0670785512733099,,STRATEGY_PATTERN_V1
continuous_feature_correlation,title_word_count,,global,all,115,,,,0.07404017480116183,,STRATEGY_PATTERN_V1
continuous_feature_correlation,duration_minutes,,global,all,115,,,,0.28449224912309695,,STRATEGY_PATTERN_V1
