channel_id,api_channel_title,custom_url,country,subscriber_count,video_count,view_count,api_channel_description
UChysexdHBwnvEMDFuKiCUZw,HichkasVEVO,@hichkasvevo,,3770,3,7215614,"Soroush Lashkary better known by his performing name, Hichkas (nobody in Persian) is an Iranian rapper, songwriter, record producer. Dubbed the godfather of Iranian rap and pioneer of Iranian hip-hop genre, Hichkas’s early releases combined traditional Iranian instruments and urban beats to create a hybrid genre, a combination of east and west. Lyrically, Hichkas’s songs are full of idioms, onomatopoeia, similes, alliteration, assonance, metaphors, a play on folk Persian proverbs and themed around social and cultural issues. Hichkas’s first album ‘Jangale Asfalt’ (The Asphalt Jungle) was initially released in 2005 was seminal in that it was the first professional hip-hop LP to be released from Iran, and became a fine example of Iranian arts and culture. His second album the ‘Anjām Vazife’ (The Tour of Duty) EP was released in 2011. In addition to performance, Hichkas founded 021, Candis and the record label Saamet. Hichkas is working on his highly anticipated second LP, Mojaz."
UC9PxiuAlnUmaAhe52mYeXeQ,Mohammad Fazlali,@kiuf2000,,12200,22,5087053,
UCHZk9MrT3DGWmVqdsj5y0EA,BBC Persian,@bbcnewspersian,GB,1190000,19435,1006154083,"Latest news and current affairs videos, documentry and music from BBCPersian.com"
UCHgdN_bLmnnuvt6bKn8Uxfw,Sasy - Topic,,,22800,71,21628628,
UCMPdfQnOy5Vu07j6C141FWQ,PUMP VOD,@pump_vod,NL,316000,269,110148140,"به پامپ خوش اومدی! ما اینجا کارای معمولی نمی‌کنیم.
از بازی‌ و چالش گرفته تا اتفاق‌های عجیب و هیجان‌انگیز، هر کاری می‌کنیم تا سرگرم بشی و حال کنی! و عجیب تر اینکه تنها جاییه که به جای اینکه پول خرج کنی، کلی جایزه و هدیه گیرت میاد.
اگه دنبال ماجراجویی، رقابت، سرگرمی و کلی لحظه هیجان‌انگیز و خاص هستی… دکمه سابسکرایب رو بزن و آماده شو برای یه عالمه سورپرایز!!
"
UCQlzBlY30F51MXStCS2KfGQ,Parsi Tv,@parsitvofficial,AU,158000,3821,64469247,"به مجله یوتیوب پارسی تی وی خوش آمدید
در این مجله درباره هر موضوع جالبی ویدیو ساخته می شود
لطفا انتقادات خودتون رو از  طریق کامنت با ما در میان بگذارید"
UCQngZK1cnqB6C9A11wIPkvQ,Music City | موزیک شهر,@music.city..,CA,1980,204,867208,"بروز ترین کانال بررسی تخصصی اخبار و حواشی موسیقی

 سلام به کانال موزیک شهر خوش اومدین ❤️
اینجا باهم به موزیک ها ری اکشن میریم و آهنگ ها و عملکرد خواننده ها رو بررسی و نقد میکنیم
همچنین به بیوگرافی و اخباروحواشی خوانندگان میپردازیم🎤🎤🎤🎤🎧🎧🎧 

اگه علاقه مند به موسیقی و اخبار و حواشی خواننده ها هستی ، کانال رو سابسکرایب کنید  😍😍😍

موسیقی
آهنگ
حواشی
اخبار موسیقی
"
UCVJZW-tOn3hFgeh0kZpSbjw,Mehdi Kord Art Group,@mehdikordartgroup,DE,17500,233,7212730,"| The official YouTube Channel of Mehdi Kord |

Media Rights Company : Persian Media Group
"
UCX7iFtn4OnJYNLXyKQsnHGg,MELODIFA CLASSIC,@melodifaclassic,CA,68100,1243,43013879,"Melodifa Classic is the most popular Persian classical music YouTube channel. Melodifa Classic exclusively publishes most of the songs of the best Persian classical music artists such as Mohammadreza Shajarian, Homayoun Shajarian, Alireza Ghorbani, Shahram Nazeri, Alireza Eftekhari, Salar Aghili.
Subscribe to Melodifa Classic and get access to the best songs of the best Persian classical music artists on all kinds of YouTube videos. (Music Videos, Lives, Shorts)


"
UC_xcDPW-ARj59n1qhYaLOqQ,Alireza Ghorbani - Topic,,,1120,333,6996383,"Alireza Ghorbani was born in February 4th 1972 in Tehran. He started his vocal lessons when he was 12, and he was a solo vocalist of National Orchestra when he was 27. Alireza Ghorbani also became at thirty years a foreground singer of the Persian song. His very ramified repertory constitutes the radif and the tasnif, whose vocal rarest techniques are very well controlled from him. He occurs in small formation, with four musicians, as with the national Orchestra of Iran.

Alireza Ghorbani is a great artist deeply rooted in the tradition but also of an insatiable curiosity and a large open-mindedness with respect to the other cultures.

The handsomely chiseled features of Ali Reza Ghorbani have become part of the new generation of Iranian singers of classical Persian music. Born in the midst of the turbulence of 1970s and 80s Iran, Ghorbani has laid claims to being a worthy successor of the man regarded as the undisputed master of Persian classical song, Mohammed Reza Shajarian.

He has released 19 albums in Iran and Europe until now. Also he participated in several international projects, some multi-cultural (Iran, France, India, Mali) projects in Europe like: Le Rhythm De La Parole, SOUFFLES DU MONDE (released in Europe) and some other projects such as cooperation with Dorsaf Hamdani Tunisian singer, concert with the Dusseldorf Symphony Orchestra, Concert with Kamel Orchestra Vienna, performance at the Cologne Philharmonic, and concert with the Vancouver Opera Orchestra."
