channel_id,artist_name_fa,api_video_title,view_count,licensed_content,category_id,duration,screening_status_v2,screening_reason_v2
UC9PxiuAlnUmaAhe52mYeXeQ,علیرضا قربانی,"امشب در سر شوری دارم-  علیرضا قربانی، شهرداد روحانی   Ghorbani,  Rohani , Roshan Ravan, Khorram",3103480,False,27,PT6M51S,needs_review,insufficient_evidence
UC9PxiuAlnUmaAhe52mYeXeQ,علیرضا قربانی,"اجرای زنده و باشکوه ""من عاشق چشمت شدم""، علیرضا قربانی، Alireza Ghorbani  Vancouver Opera Orchestra",1399061,False,27,PT4M58S,needs_review,review_title_pattern_live_or_unplugged
UCHZk9MrT3DGWmVqdsj5y0EA,علیرضا قربانی,ببینید علیرضا قربانی در کنسرت رشت صدایش گرفت، اما ترانه قطع نشد,81603,True,24,PT1M34S,likely_non_release,non_release_title_pattern
UCHgdN_bLmnnuvt6bKn8Uxfw,ساسی مانکن,Gentleman,5201378,True,10,PT3M7S,needs_review,music_category_and_licensed_but_no_release_pattern
UCHgdN_bLmnnuvt6bKn8Uxfw,ساسی مانکن,Maman Mano Bebakhsh,1189799,True,10,PT3M24S,needs_review,music_category_and_licensed_but_no_release_pattern
UCMPdfQnOy5Vu07j6C141FWQ,فرزاد فرزین,فرزاد فرزین در قسمت سوم پامپ ۲,1519464,True,24,PT1H2M50S,likely_non_release,too_long_over_15_minutes
UCQlzBlY30F51MXStCS2KfGQ,محسن یگانه,فوری : رژیم آخوندی اموال محسن یگانه رو به جرم همراهی با مردم مصادره کرد!,2461,True,25,PT4M21S,likely_non_release,non_release_title_pattern
UCQngZK1cnqB6C9A11wIPkvQ,محسن یگانه,تحریر فوق العاده محسن یگانه در دبی😱,256419,True,10,PT24S,likely_non_release,too_short_under_90_seconds
UCVJZW-tOn3hFgeh0kZpSbjw,محسن یگانه,Morteza Pashaei & Mohsen Yeganeh - Yeki Hast I Live In Concert (مرتضی پاشایی و محسن یگانه - یکی هست),1983594,True,10,PT4M24S,likely_non_release,non_release_title_pattern
UCX7iFtn4OnJYNLXyKQsnHGg,همایون شجریان,Homayoun Shajarian - Mastam Ze Negahe To (همایون شجریان - مستم ز نگاه تو),3839913,True,10,PT5M43S,needs_review,music_category_and_licensed_but_no_release_pattern
UCX7iFtn4OnJYNLXyKQsnHGg,همایون شجریان,Homayoun Shajarian - Abr Mibarad (همایون شجریان - ابر میبارد),923048,True,10,PT4M2S,needs_review,music_category_and_licensed_but_no_release_pattern
UC_xcDPW-ARj59n1qhYaLOqQ,علیرضا قربانی,The Strange Times,984469,True,10,PT6M32S,needs_review,music_category_and_licensed_but_no_release_pattern
UCa20QQoV4gaLv9XRki-ynWQ,هیچکس,Reza Pishro X Putak | هیچکس یا فدایی؟ | EP06,891706,True,22,PT20M33S,likely_non_release,too_long_over_15_minutes
UCfTyeE7jWJK6q7lTdIUv57w,همایون شجریان,KHARIDAR Live Anoushiravan Rohani & Homayoun Shajarian خریدار همایون شجریان و انوشیروان روحانی,82637,True,10,PT6M10S,needs_review,review_title_pattern_live_or_unplugged
UChLs096B3kOpLYhVK1ldSvg,همایون شجریان,همایون شجریان اجرای زنده کنسرت دبی ٢٠٢۵ |Live Concert in Dubai 2025  Homayoun Shajarian ,36441,True,10,PT45M2S,likely_non_release,too_long_over_15_minutes
UChysexdHBwnvEMDFuKiCUZw,هیچکس,Hichkas - Ekhtelaf,4244255,True,10,PT2M53S,needs_review,music_category_and_licensed_but_no_release_pattern
UChysexdHBwnvEMDFuKiCUZw,هیچکس,Hichkas - Ye Mosht Sarbaz,2670531,True,10,PT3M23S,needs_review,music_category_and_licensed_but_no_release_pattern
UCkpVRmYsrxg4I8SsTQA2CkA,علیرضا قربانی,هزار و یک شب با صدای علیرضا قربانی و سحر بروجردی,63335,True,10,PT3M33S,needs_review,music_category_and_licensed_but_no_release_pattern
UCmp7UNNvJIkRTd44nC5PR9g,گرشا رضایی,نقد گرشا رضایی #نقدکنسرت #گرشا,1615,True,10,PT1M6S,likely_non_release,too_short_under_90_seconds
UCoOjmdECYvybtOOKtlwvsAw,هیچکس,"HICHKAS ""DISHAB YE BASIJI KOSHTAM"" REACTION   ری اکشن به ترک «دیشب یه بسیجی کشتم» از هیچکس",127413,True,24,PT11M56S,likely_non_release,non_release_title_pattern
UCoOjmdECYvybtOOKtlwvsAw,هیچکس,"HICHKAS ""HAMINJOORI"" REACTION  - ری اکشن به ترک «همینجوری» از هیچکس",44211,True,24,PT9M30S,likely_non_release,non_release_title_pattern
UCobfxWqSORuodnQ5rdNw-bw,محسن یگانه,Vabastegi,3128998,True,10,PT3M,needs_review,music_category_and_licensed_but_no_release_pattern
UCtS_MyKAEqPJgw-WNPxb5cA,هیچکس,هیچکس انتظارشو نداشت💀,30388,True,20,PT51S,likely_non_release,too_short_under_90_seconds
UCtnsBNReKiPjTZoz7qBZDlA,ساسی مانکن,موزیک ویدیو جدید ساسی با آرام اکس سپهر حیدری❌️😱,1400900,True,24,PT16S,likely_non_release,too_short_under_90_seconds
UCuGnnvoIOfRfkvYVHzTUWYQ,فرزاد فرزین,Farzad Farzin - Oghyanoos ( فرزاد فرزین - اقیانوس ),926236,True,10,PT3M49S,needs_review,music_category_and_licensed_but_no_release_pattern
UCuGnnvoIOfRfkvYVHzTUWYQ,فرزاد فرزین,Farzad Farzin - Man Be Jahanam - Official Video ( فرزاد فرزین - من به جهنم - ویدیو ),64773,True,10,PT3M15S,likely_release,release_title_pattern | music_category | licensed_content
