channel_id,artist_name_fa,api_video_title,view_count,like_count,licensed_content,category_id,duration,screening_status_v2,screening_reason_v2
UC-nWrwyltC2ibR8jp5y9Ucg,هیچکس,Bazam kalan - Hichkas ft.Pishro (Lyrics) | (بازم کلان - هیچکس فیت پیشرو (بامتن,719658,6293.0,False,22,PT2M22S,needs_review,insufficient_evidence
UC-rSD_7jPlK0uD8rlU12B1g,هیچکس,اجراي زنده آهنگ به روز خوب مياد سروش هيچكس در لاهه هلند ye rooze khoob miad  Hichkas holand The Haag,37260,778.0,False,22,PT5M9S,needs_review,insufficient_evidence
UC2Oqki4KiHm8B9Im45WCZHQ,ساسی مانکن,گلچین بهترین اهنگ های ساسی,9580,63.0,False,22,PT28M32S,likely_non_release,too_long_over_15_minutes
UC2zgju7z2H0g9qRmftG_1iA,همایون شجریان,کنسرت همایون شجریان و انوشیروان روحانی - با تیر مژگان میزنی Full HD,403794,2584.0,False,22,PT4M35S,likely_non_release,non_release_title_pattern
UC3yxyivq_AXMRYu547R-9Rw,محسن یگانه,حضور نگاه یگانه در کنسرت باباش محسن یگانه لبخوونیشو😍سکوت قلبتو بشکن و برگرد #محسن_یگانه #اجرای_زنده,19176,243.0,False,22,PT22S,likely_non_release,too_short_under_90_seconds
UC4za7IvgFZguD8o-nS9LnaQ,علیرضا قربانی,من اون شهر دورم ..علیرضاقربانی👍👌❤️‍🔥,44570,899.0,False,22,PT44S,likely_non_release,too_short_under_90_seconds
UC5qpK8RV882s3J1aCI0umig,ساسی مانکن,sasy mankanninash nash ساسی مانکن نیناش ناش,460061,2535.0,False,10,PT3M27S,needs_review,insufficient_evidence
UC6-OazUqmbrVK_b1uMYcjfA,ساسی مانکن,Sasy Mankan – Ninash Nash | ساسی مانکن - نیناش ناش,10183,41.0,False,10,PT3M29S,needs_review,insufficient_evidence
UC6uOk4kSCROrgKkdHKv2I7w,گرشا رضایی,"اجرای""عکس تو""گرشا رضایی و همخوانی زیبای مردم🩵#گرشا_رضایی #گرشارضایی #garsha_rezaei #garsharezaei",7825,112.0,False,10,PT16S,likely_non_release,too_short_under_90_seconds
UC70ecBCkLFaSAC5UCLPJHPA,هیچکس,دیس های شدید تتلو به هیچکس🔴#تتلو #هیچکس #rapnews #rapfars #پوتک #فوری #رپر #rap #tataloo #Hichkas,63775,1225.0,False,22,PT49S,likely_non_release,too_short_under_90_seconds
UC7zsmnc17R-LSTV4Dl5sN2w,همایون شجریان,کنسرت همایون شجریان در دبی ۲۲ شهریور ۱۴۰۴ #همایون_شجریان #موسیقی #شجریان,82899,1202.0,False,22,PT22S,likely_non_release,too_short_under_90_seconds
UC9eV0XXaHkTvPYh0oIAvbfQ,همایون شجریان,"Hooman Khalatbari and  Simorq Orchestra,  Homayoun Shajarian.  همایون شجریان  اجرای ارکستر سیمرغ",1634546,,False,10,PT25M20S,likely_non_release,too_long_over_15_minutes
UCAJbSaWpLovszCdQoGxa2mA,همایون شجریان,آواز خوانی فوق العاده زیبا و دلنشین همایون شجریان,41162,508.0,False,22,PT2M31S,needs_review,insufficient_evidence
UCCXJKONAosl9wdkS1x9XGvg,محسن یگانه,Mohsen Yeganeh feat Chavoshi - Nashkan Delamo,675048,7494.0,False,10,PT4M4S,needs_review,insufficient_evidence
UCFAIKt9lqX8_UR5avUWrQjg,ساسی مانکن,دابسمش ساسی مانکن آهنگ خاله لیلا (شماره ۶۲),609086,3008.0,False,22,PT16S,likely_non_release,too_short_under_90_seconds
UCG6dTZjThIJih8BBkeS3FaA,همایون شجریان,"مرغ سحر با صدای همایون شجریان و عبیر نعمه | ""Morgh-e Sahar"" - Homayoun Shajarian & Abeer Nehme",1286758,13651.0,False,10,PT4M48S,needs_review,insufficient_evidence
UCGV-fV3AkEHYzf1iW2ADeMA,همایون شجریان,به یاد هایده - اجرای بی نظیر همایون شجریان و انوشیروان روحانی برای اولین بار,1213753,11595.0,False,24,PT15M38S,likely_non_release,too_long_over_15_minutes
UCtr7DrT-BGQnst11NLCsv_w,گرشا رضایی,Garsha Rezaei - Mahoora - Music Video - موزیک ویدیو آهنگ ماهورا از گرشا رضایی,1711521,7499.0,True,10,PT3M50S,likely_release,release_title_pattern | music_category | licensed_content
UCw5LO6ba1yNC3cps4Zu_1Hg,محسن چاووشی,Hasbi Allah,430046,6951.0,True,10,PT4M28S,needs_review,music_category_and_licensed_but_no_release_pattern
UCyGYNC7IQWWmyb_4h8OxElg,علیرضا قربانی,Alireza Ghorbani - Khiale Khosh | علیرضا قربانی - موزیک ویدیو خیال خوش,1191761,4606.0,True,10,PT3M33S,needs_review,music_category_and_licensed_but_no_release_pattern
