channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes
UClp7AB4tDx0ioD1WSJNCBlQ,AA trap,1,1,0,0,هیچکس,unknown,pending_review,
UCoZSdMt8rbbMIWhtTglKbgQ,seyed amirhossien fallahasl,1,1,0,0,علیرضا قربانی,unknown,pending_review,
UCpG143VsbN_aNlxkHC9n1rA,arian2009,1,1,0,1,ساسی مانکن,unknown,pending_review,
UCpzPEdsHCpkrjFzkeKc6n3A,VividTv,1,1,0,0,ساسی مانکن,unknown,pending_review,
UCqMQlHv2vCC1hUvDGFvJqIw,Ali Fani,1,1,0,1,هیچکس,unknown,pending_review,
UCqZeJVn5evgB93CPe2QMypg,Naghmeha - Persian Songs and Poems نغمه ها و اشعار,1,1,0,0,همایون شجریان,unknown,pending_review,
UCvQF6ODadEBg5SESEbPWmcw,YounnesMusic ,1,1,0,0,گرشا رضایی,unknown,pending_review,
UCwjQElxgabbU4OIbAXxhYjA,RAP_FARSI,1,1,0,0,هیچکس,unknown,pending_review,
UCxGDGm26uFZ9PJ3-JcXaPRA,Farhikhte_HipHop,1,1,0,1,هیچکس,unknown,pending_review,
UCxMWUitJjW5TxxzV6lzxEjA,Travel with me l سفر با سیمی,1,1,0,0,سهراب پاکزاد,unknown,pending_review,
UCzIjGS-HRN9NNK3fkkv9fsw,pedro xavi,1,1,0,1,ساسی مانکن,unknown,pending_review,
