channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes,proposed_source_type,proposed_source_status,classification_confidence
UClp7AB4tDx0ioD1WSJNCBlQ,AA trap,1,1,0,0,هیچکس,unknown,pending_review,,media_or_news,excluded,high
UCoZSdMt8rbbMIWhtTglKbgQ,seyed amirhossien fallahasl,1,1,0,0,علیرضا قربانی,unknown,pending_review,,concert_channel,excluded,high
UCpG143VsbN_aNlxkHC9n1rA,arian2009,1,1,0,1,ساسی مانکن,unknown,pending_review,,third_party_music,pending_review,medium
UCpzPEdsHCpkrjFzkeKc6n3A,VividTv,1,1,0,0,ساسی مانکن,unknown,pending_review,,media_or_news,excluded,high
UCqMQlHv2vCC1hUvDGFvJqIw,Ali Fani,1,1,0,1,هیچکس,unknown,pending_review,,remix_channel,excluded,high
UCqZeJVn5evgB93CPe2QMypg,Naghmeha - Persian Songs and Poems نغمه ها و اشعار,1,1,0,0,همایون شجریان,unknown,pending_review,,third_party_music,pending_review,medium
UCvQF6ODadEBg5SESEbPWmcw,YounnesMusic ,1,1,0,0,گرشا رضایی,unknown,pending_review,,artist_owned,excluded,high
UCwjQElxgabbU4OIbAXxhYjA,RAP_FARSI,1,1,0,0,هیچکس,unknown,pending_review,,fan_or_reupload,excluded,high
UCxGDGm26uFZ9PJ3-JcXaPRA,Farhikhte_HipHop,1,1,0,1,هیچکس,unknown,pending_review,,media_or_news,excluded,high
UCxMWUitJjW5TxxzV6lzxEjA,Travel with me l سفر با سیمی,1,1,0,0,سهراب پاکزاد,unknown,pending_review,,entertainment,excluded,high
UCzIjGS-HRN9NNK3fkkv9fsw,pedro xavi,1,1,0,1,ساسی مانکن,unknown,pending_review,,third_party_music,pending_review,medium
