channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes
UCCn_0vWsa35jSTRNlX15hzQ,TPM - Top Persian Music,23,4,22,23,سهراب پاکزاد | علیرضا قربانی | فرزاد فرزین | گرشا رضایی,unknown,pending_review,
UCO7rnnjVkPeDutLWuROEzKw,MohsenChavoshiVEVO,16,1,16,16,محسن چاووشی,unknown,pending_review,
UCMQ39QYA6tpAu_ZDaOWn7IQ,Farzad Farzin,15,1,14,15,فرزاد فرزین,unknown,pending_review,
UCVjt1H4u5z3Ya7_hxHGus6w,Radio Javan,13,1,13,13,ساسی مانکن,unknown,pending_review,
UCQnVOIzzZ-r2vKWZGEvd7Zw,Sohrab Pakzad,9,1,9,9,سهراب پاکزاد,unknown,pending_review,
UCregxQqAisNcggQriK9f3Qw,Alireza Ghorbani,9,1,2,9,علیرضا قربانی,unknown,pending_review,
UC8u6telGfDJ2wd8lSwLoauQ,Persian Music Group,7,2,7,7,فرزاد فرزین | محسن یگانه,unknown,pending_review,
UC9qZPJyvvZiBmzYdqdgly1w,SohrabPakzadVEVO,6,1,6,6,سهراب پاکزاد,unknown,pending_review,
UCF2LMk6XCzazmPPWrxc7qSg,Mohsen Yeganeh,6,1,6,6,محسن یگانه,unknown,pending_review,
UCisezGQDdiJZ6lmMQjVclvA,Garsha Rezaei,6,1,6,6,گرشا رضایی,unknown,pending_review,
UCmBIX3tItWTCmbkcARiyZkg,Homayoun Shajarian,6,1,5,6,همایون شجریان,unknown,pending_review,
UCAnylXo06Lw_x8swLZhIosg,Hichkas,5,1,1,5,هیچکس,unknown,pending_review,
UCjibqVppvIlLK4lbXRsbhhw,Melodifa,4,1,4,2,همایون شجریان,unknown,pending_review,
UCpToffK2aE57CCK_uBCNHyA,Fact Music,3,3,3,3,سهراب پاکزاد | فرزاد فرزین | محسن چاووشی,unknown,pending_review,
UCN73foROjDkwZEKS05z6KHQ,The ZiCord,3,1,3,3,محسن چاووشی,unknown,pending_review,
UCIoXa9CZoDHPao2qnfGU5mg,honarnewsofficial,2,2,2,0,همایون شجریان | گرشا رضایی,unknown,pending_review,
UC6J32FcpsyYA_JGxrEHPbBQ,Alireza Yazdani,2,2,0,2,علیرضا قربانی | محسن چاووشی,unknown,pending_review,
UCUR0IBUfM1puV2qa-3m7FWQ,farsiReact,2,2,0,2,محسن یگانه | همایون شجریان,unknown,pending_review,
UC7Hs0659Yc82h7Snhjnfd4g,Avang Music,2,1,2,2,ساسی مانکن,unknown,pending_review,
UCFnc_tL9if9l5As18rnAyGA,Mohsen Chavoshi,2,1,2,2,محسن چاووشی,unknown,pending_review,
