channel_id,artist_name_fa,api_video_title,view_count,licensed_content,category_id,screening_status_v2
UC6J32FcpsyYA_JGxrEHPbBQ,علیرضا قربانی,Alireza Ghorbani & Mohsen Chavoshi (Mashup) - ترکیب علیرضا قربانی و محسن چاوشی,850682,False,10,likely_non_release
UC6J32FcpsyYA_JGxrEHPbBQ,محسن چاووشی,Alireza Ghorbani & Mohsen Chavoshi (Mashup) - ترکیب علیرضا قربانی و محسن چاوشی,850682,False,10,likely_non_release
UC7Hs0659Yc82h7Snhjnfd4g,ساسی مانکن,Sasy Mankan - Atse OFFICIAL VIDEO HD,2324263,True,10,likely_release
UC7Hs0659Yc82h7Snhjnfd4g,ساسی مانکن,Sasy Mankan - Khat Roo Khat OFFICIAL VIDEO HD,941047,True,10,likely_release
UC8u6telGfDJ2wd8lSwLoauQ,فرزاد فرزین,Farzad Farzin - Asheghaneh I Official Video ( فرزاد فرزین - عاشقانه ),4008766,True,10,likely_release
UC8u6telGfDJ2wd8lSwLoauQ,محسن یگانه,Mohsen Yeganeh - Nashkan Delamo ( محسن یگانه - نشکن دلمو ),2719791,True,10,needs_review
UC8u6telGfDJ2wd8lSwLoauQ,محسن یگانه,Mohsen Yeganeh - Sokoot ( محسن یگانه - سکوت ),1628091,True,10,needs_review
UC8u6telGfDJ2wd8lSwLoauQ,محسن یگانه,Mohsen Yeganeh - Nabashi ( محسن یگانه - نباشی ),572126,True,10,needs_review
UC8u6telGfDJ2wd8lSwLoauQ,محسن یگانه,Mohsen Yeganeh - Havaei Shodi ( محسن یگانه - هوایی شدی ),550156,True,10,needs_review
UC9qZPJyvvZiBmzYdqdgly1w,سهراب پاکزاد,Sohrab Pakzad - Dokhtar Irooni [ Lyric Video ] (سهراب پاکزاد - دختر ایرونی ),7987957,True,10,likely_release
UC9qZPJyvvZiBmzYdqdgly1w,سهراب پاکزاد,Sohrab Pakzad - In Che Hessie ( Lyric Video ) ft. Amir Tabari,4639774,True,10,likely_release
UC9qZPJyvvZiBmzYdqdgly1w,سهراب پاکزاد,Sohrab Pakzad - Yaghi ( Lyric Video ),2074399,True,10,likely_release
UC9qZPJyvvZiBmzYdqdgly1w,سهراب پاکزاد,Sohrab Pakzad - Top 10 Songs [Lyric Video] (بهترین های سهراب پاکزاد),1084585,True,10,likely_non_release
UC9qZPJyvvZiBmzYdqdgly1w,سهراب پاکزاد,Sohrab Pakzad - Khateh Ghermez [ Lyric Video ] ( سهراب پاکزاد - خط قرمز ),689925,True,10,likely_release
UCAnylXo06Lw_x8swLZhIosg,هیچکس,Hichkas - Inyekiam Vase,760334,True,10,needs_review
UCAnylXo06Lw_x8swLZhIosg,هیچکس,Hichkas - Rooye Jenazat Miraghsam,687584,False,10,needs_review
UCAnylXo06Lw_x8swLZhIosg,هیچکس,Hichkas - Har Ye Rooz (feat. Poobon),662072,False,10,needs_review
UCAnylXo06Lw_x8swLZhIosg,هیچکس,Hichkas - Tigham Rooye Raget (Visual),320973,False,10,needs_review
UCAnylXo06Lw_x8swLZhIosg,هیچکس,Hichkas - Man Chizi Ke Mikham,268929,False,10,needs_review
UCCn_0vWsa35jSTRNlX15hzQ,گرشا رضایی,Garsha Rezaei - Naro (Music Video) - موزیک ویدیو آهنگ نرو از گرشا رضایی,8127024,True,10,likely_release
UCCn_0vWsa35jSTRNlX15hzQ,گرشا رضایی,Garsha Rezaei - Donyami - آهنگ دنیامی از گرشا رضایی,3703489,True,10,needs_review
UCCn_0vWsa35jSTRNlX15hzQ,گرشا رضایی,Garsha Rezaei - Darya Nemiram - آهنگ دریا نمیرم از گرشا رضایی,3689361,True,10,needs_review
UCCn_0vWsa35jSTRNlX15hzQ,سهراب پاکزاد,Sohrab Pakzad - Khialet Jam (Music Video) - موزیک ویدیو آهنگ خیالت جمع از سهراب پاکزاد,2582645,True,10,likely_release
UCCn_0vWsa35jSTRNlX15hzQ,گرشا رضایی,Garsha Rezaei - Darya Darya - آهنگ دریا دریا از گرشا رضایی,2208786,True,10,needs_review
UCF2LMk6XCzazmPPWrxc7qSg,محسن یگانه,Mohsen Yeganeh - Behet Ghol Midam ( I promise you ),285002691,True,10,needs_review
UCF2LMk6XCzazmPPWrxc7qSg,محسن یگانه,Mohsen Yeganeh - Passing,2338758,True,10,needs_review
UCF2LMk6XCzazmPPWrxc7qSg,محسن یگانه,Mohsen Yeganeh - Khodkhah ( محسن یگانه - خودخواه ),1783244,True,10,needs_review
UCF2LMk6XCzazmPPWrxc7qSg,محسن یگانه,Mohsen Yeganeh - Nadaramet ( محسن یگانه - ندارمت ),1338059,True,10,needs_review
UCF2LMk6XCzazmPPWrxc7qSg,محسن یگانه,Mohsen Yeganeh - Moohat ( محسن یگانه - موهات),536300,True,10,needs_review
UCFnc_tL9if9l5As18rnAyGA,محسن چاووشی,Mohsen Chavoshi - Gandom Goon (Lyric Video),1105988,True,10,likely_release
UCFnc_tL9if9l5As18rnAyGA,محسن چاووشی,Mohsen Chavoshi - Ali (Lyric Video),949666,True,10,likely_release
UCIoXa9CZoDHPao2qnfGU5mg,گرشا رضایی,شوخی گرشا رضایی با نعیمه نظام دوست، میشه نعیمه رو بغل کنم؟ + چرا نمیشه…در حاشیه اکران سریال یزدان…,888391,True,24,likely_non_release
UCIoXa9CZoDHPao2qnfGU5mg,همایون شجریان,اتفاقی عجیب! هیس صداتو بیار پایین، رفتار زشت با طرفدار همایون شجریان…,59888,True,24,likely_non_release
UCMQ39QYA6tpAu_ZDaOWn7IQ,فرزاد فرزین,Farzad Farzin - 🕺 Nagi ke Nagoftam (Official video) – موزیک ویدئوی نگی که نگفتم فرزاد فرزین,11493600,True,10,likely_release
