threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,negative_predictive_value,f1,predicted_positive_rate,tn,fp,fn,tp,distance_from_default_threshold
0.2,0.3826086956521739,0.5823529411764706,0.297029702970297,1.0,0.16470588235294117,1.0,0.4580152671755725,0.8782608695652174,14,71,0,30,0.3
0.25,0.4434782608695652,0.6127450980392157,0.31521739130434784,0.9666666666666667,0.25882352941176473,0.9565217391304348,0.47540983606557374,0.8,22,63,1,29,0.25
0.3,0.4956521739130435,0.6480392156862745,0.3372093023255814,0.9666666666666667,0.32941176470588235,0.9655172413793104,0.5,0.7478260869565218,28,57,1,29,0.2
0.35,0.5217391304347826,0.6441176470588236,0.34177215189873417,0.9,0.38823529411764707,0.9166666666666666,0.4954128440366973,0.6869565217391305,33,52,3,27,0.15000000000000002
0.4,0.5304347826086957,0.6176470588235294,0.3333333333333333,0.8,0.43529411764705883,0.8604651162790697,0.47058823529411764,0.6260869565217392,37,48,6,24,0.09999999999999998
0.45,0.5652173913043478,0.5656862745098039,0.3148148148148148,0.5666666666666667,0.5647058823529412,0.7868852459016393,0.40476190476190477,0.46956521739130436,48,37,13,17,0.04999999999999999
0.5,0.6086956521739131,0.5735294117647058,0.3333333333333333,0.5,0.6470588235294118,0.7857142857142857,0.4,0.391304347826087,55,30,15,15,0.0
0.55,0.6608695652173913,0.5872549019607843,0.37142857142857144,0.43333333333333335,0.7411764705882353,0.7875,0.4,0.30434782608695654,63,22,17,13,0.050000000000000044
0.6,0.6956521739130435,0.5568627450980392,0.38095238095238093,0.26666666666666666,0.8470588235294118,0.7659574468085106,0.3137254901960784,0.1826086956521739,72,13,22,8,0.09999999999999998
0.65,0.6956521739130435,0.492156862745098,0.2222222222222222,0.06666666666666667,0.9176470588235294,0.7358490566037735,0.10256410256410256,0.0782608695652174,78,7,28,2,0.15000000000000002
0.7,0.7391304347826086,0.5107843137254903,0.5,0.03333333333333333,0.9882352941176471,0.7433628318584071,0.0625,0.017391304347826087,84,1,29,1,0.19999999999999996
0.75,0.7391304347826086,0.5,0.0,0.0,1.0,0.7391304347826086,0.0,0.0,85,0,30,0,0.25
0.8,0.7391304347826086,0.5,0.0,0.0,1.0,0.7391304347826086,0.0,0.0,85,0,30,0,0.30000000000000004
