artist_id,artist_name_fa,category,candidate_rank,channel_id,channel_title,channel_description,published_at,source_query,manual_status,candidate_type,notes
1,همایون شجریان,classic_fusion,1,UCmBIX3tItWTCmbkcARiyZkg,Homayoun Shajarian,The official YouTube Channel of Homayoun Shajarian |,2020-12-27T08:43:42Z,همایون شجریان,pending_review,unknown,
1,همایون شجریان,classic_fusion,2,UCHyzCBAeqe9YYeUC4QCwPQw,Homayoun Shajarian - Topic,,2013-12-20T20:53:25Z,همایون شجریان,pending_review,unknown,
1,همایون شجریان,classic_fusion,3,UC7zsmnc17R-LSTV4Dl5sN2w,Homayounshajarian fans,''دوستداران‌همایون‌شجریان'' ╰همایون‌زرین╮ ˵دچارتو‌نمی‌کند دل‌ازهوای‌تو˶,2024-12-25T14:21:36Z,همایون شجریان,pending_review,unknown,
1,همایون شجریان,classic_fusion,4,UCFFQe4CXlW1obCcgkKGEd9A,moosighie  sonati,ویدئوهای کوتاه استاد شجریان ،آشنایی با دستگاههای موسیقی ایرانی، کمی هم آموزش سه تار.,2012-09-21T07:18:21Z,همایون شجریان,pending_review,unknown,
1,همایون شجریان,classic_fusion,5,UCxF3Fc_cSQbbkBNOUh5Kj2g,استاد محمد رضاشجریان shajaryan,,2017-01-10T11:17:10Z,همایون شجریان,pending_review,unknown,
2,علیرضا قربانی,classic_fusion,1,UCregxQqAisNcggQriK9f3Qw,Alireza Ghorbani,Official Channel of Alireza Ghorbani Iranian Singer And Musician Alireza Ghorbani was born in 1972 in Tehran. He started his ...,2017-01-18T10:57:21Z,علیرضا قربانی,pending_review,unknown,
2,علیرضا قربانی,classic_fusion,2,UC_xcDPW-ARj59n1qhYaLOqQ,Alireza Ghorbani - Topic,"Alireza Ghorbani was born in February 4th 1972 in Tehran. He started his vocal lessons when he was 12, and he was a solo ...",2013-10-24T07:35:04Z,علیرضا قربانی,pending_review,unknown,
2,علیرضا قربانی,classic_fusion,3,UC3dY0Ol9JfHmXQ4z4TkyaKg,علیرضا قربانی,,2025-05-31T08:58:38Z,علیرضا قربانی,pending_review,unknown,
2,علیرضا قربانی,classic_fusion,4,UC9AlrY_v_HAz3WLnMCl1OgQ,علیرضا قربانی,,2024-03-23T22:40:15Z,علیرضا قربانی,pending_review,unknown,
2,علیرضا قربانی,classic_fusion,5,UCtsKNmdgKjmlswHNOVrl85Q,علیرضا قربانی,,2025-01-11T17:49:17Z,علیرضا قربانی,pending_review,unknown,
3,محسن چاووشی,pop,1,UCFnc_tL9if9l5As18rnAyGA,Mohsen Chavoshi,Welcome to the Official Channel Of Mohsen Chavoshi.,2012-10-05T22:09:31Z,محسن چاووشی,pending_review,unknown,
3,محسن چاووشی,pop,2,UCw5LO6ba1yNC3cps4Zu_1Hg,Mohsen Chavoshi - Topic,,2013-12-21T02:36:54Z,محسن چاووشی,pending_review,unknown,
3,محسن چاووشی,pop,3,UC51V8YOZyP1qTqvkdeENZKA,Mohamad Art,After Effect • Motion graphics • designer.,2021-10-27T13:32:26Z,محسن چاووشی,pending_review,unknown,
3,محسن چاووشی,pop,4,UCUCF3K8DbB4OeI_imhse38Q,محسن چاووشی,,2022-03-31T11:29:01Z,محسن چاووشی,pending_review,unknown,
3,محسن چاووشی,pop,5,UCNIyL48Wnjc9i8cHs5kmLhw,محسن چاووشی,,2022-01-03T16:37:18Z,محسن چاووشی,pending_review,unknown,
4,فرزاد فرزین,pop,1,UCMQ39QYA6tpAu_ZDaOWn7IQ,Farzad Farzin,I am Farzad Farzin and this is my official YouTube channel. You can find link to this YouTube account on my website: ...,2014-11-30T15:23:39Z,فرزاد فرزین,pending_review,unknown,
