channel_id,channel_title,total_candidate_occurrences,unique_artists_matched,matched_artists,api_channel_title,api_channel_description,custom_url,country,channel_published_at,view_count,subscriber_count,hidden_subscriber_count,video_count
UCCn_0vWsa35jSTRNlX15hzQ,TPM - Top Persian Music,20,4,سهراب پاکزاد | علیرضا قربانی | فرزاد فرزین | گرشا رضایی,TPM - Top Persian Music,"Welcome to TPM - Top Persian Music! We are dedicated to bringing you the best in Iranian music. Our channel features a wide variety of genres and artists, including some of the most famous names in the industry. With numerous videos boasting millions of views, we're proud to be a top destination for Iranian music lovers.

We're always looking to work with new artists and expand our offerings. If you're an artist interested in collaborating with us, please don't hesitate to reach out by sending an email to [tpmusic.channel@gmail.com]. We'd love to hear from you!

DMCA - § 512(f) Misrepresentations Section 512(f) deters false claims of infringement by imposing liability on anyone who makes such claims, for the damages suffered by other parties as a result of the OSP's reliance on the false claim, and for associated legal fees. Don't make false claims! 
If you have any concerns about the content on our channel, please don't hesitate to contact us at [tpmusic.channel@gmail.com].
",@toppersianmusic,DE,2016-06-20T13:55:19Z,493434212,780000,False,11239
UCO7rnnjVkPeDutLWuROEzKw,MohsenChavoshiVEVO,15,1,محسن چاووشی,MohsenChavoshiVEVO,"Welcome to the Official VEVO channel of Mohsen Chavoshi. Please take a moment and subscribe! Thank you

",@mohsenchavoshivevo9770,,2021-11-02T00:34:24.129702Z,82965163,1010,False,75
UCVjt1H4u5z3Ya7_hxHGus6w,Radio Javan,13,1,ساسی مانکن,Radio Javan,Radio Javan is the premiere source of Persian and Iranian music with the newest and latest exclusive music video and songs.,@radiojavan,US,2007-06-21T12:04:44Z,972925145,1060000,False,2841
UCMQ39QYA6tpAu_ZDaOWn7IQ,Farzad Farzin,11,1,فرزاد فرزین,Farzad Farzin,"I am Farzad Farzin and this is my official YouTube channel.

You can find link to this YouTube account on my website:
http://farzadfarzin.net
http://t.me/farzadfarzin2",@farzadfarzinnet,US,2014-11-30T15:23:39Z,70480409,75300,False,184
UCregxQqAisNcggQriK9f3Qw,Alireza Ghorbani,9,1,علیرضا قربانی,Alireza Ghorbani,"Official Channel of Alireza Ghorbani
Iranian Singer And Musician
Alireza Ghorbani was born in 1972 in Tehran. He started his vocal lessons when he was 12, and he was a solo vocalist of National Orchestra when he was 27. Alireza Ghorbani also became at thirty years a foreground singer of the Persian song. His very ramified repertory constitutes the radif and the tasnif, whose vocal rarest techniques are very well controlled from him. He occurs in small formation, with four musicians, as with the national Orchestra of Iran

t.me/AlirezaGhorbaniOfficial
",@alirezaghorbaniofficial,US,2017-01-18T10:57:21Z,40906129,74500,False,113
UC8u6telGfDJ2wd8lSwLoauQ,Persian Music Group,7,3,فرزاد فرزین | محسن یگانه | همایون شجریان,Persian Music Group,"Persian Music Group is the leader in Persian Music industry. Check out the newest and latest music videos and songs here on our official YouTube channel and subscribe if you want to hear more.

If you want your videos to be published in our channel please write us an email to get to know more about the different options and conditions.

Please note that any copyright action against the Official YouTube Channel will be taken seriously. Please email before taking any action and we will aim to resolve any issues as quickly as possible.
_______________
DMCA - § 512(f) Misrepresentations Section 512(f) deters false claims of infringement by imposing liability on anyone who makes such claims, for the damages suffered by other parties as a result of the OSP's reliance on the false claim, and for associated legal fees. Don't make false claims!",@persianmusic_group,DE,2018-10-01T15:25:05Z,1131490463,1450000,False,2963
UCF2LMk6XCzazmPPWrxc7qSg,Mohsen Yeganeh,7,1,محسن یگانه,Mohsen Yeganeh,,@mohsenyeganehofficial,,2012-04-11T19:02:23Z,330631570,571000,False,56
UCQnVOIzzZ-r2vKWZGEvd7Zw,Sohrab Pakzad,7,1,سهراب پاکزاد,Sohrab Pakzad,The Official Youtube Channel Of Sohrab Pakzad,@sohrab.pakzad,,2023-12-17T15:48:24.373797Z,55877543,39900,False,84
UCmBIX3tItWTCmbkcARiyZkg,Homayoun Shajarian,7,1,همایون شجریان,Homayoun Shajarian,"| The official YouTube Channel of Homayoun Shajarian |

",@homayounshajarianchannel,DE,2020-12-27T08:43:42.268504Z,32707763,103000,False,269
UC9qZPJyvvZiBmzYdqdgly1w,SohrabPakzadVEVO,6,1,سهراب پاکزاد,SohrabPakzadVEVO,,@sohrabpakzadvevo,,2023-05-01T23:30:54.168564Z,29200902,2630,False,44
UCisezGQDdiJZ6lmMQjVclvA,Garsha Rezaei,6,1,گرشا رضایی,Garsha Rezaei,"Welcome to the official YouTube channel of Garsha Rezaei! 

Here you will find all of Garsha’s music, including his latest hits and old favorites. With a unique voice and style, Garsha has captured the hearts of fans with his beautiful melodies and heartfelt lyrics. 
Subscribe to stay up-to-date with all of Garsha’s new releases!",@garsharezaeiofficial,DE,2022-02-20T17:23:53.299156Z,10561242,17900,False,241
UCAnylXo06Lw_x8swLZhIosg,Hichkas,5,1,هیچکس,Hichkas,"Soroush Lashkary better known by his stage name, Hichkas (nobody in Persian) is an Iranian song writer, rapper, record producer. Dubbed the godfather of Iranian rap and pioneer of Iranian hip-hop genre, Hichkas’s early releases combined traditional Iranian instruments and urban beats to create a hybrid genre, a combination of east and west. Lyrically, Hichkas’s songs are full of idioms, onomatopoeia, similes, alliteration, assonance, metaphors, a play on folk Persian proverbs and themed around social and cultural issues. Hichkas’s first album ‘Jangale Asfalt’ (The Asphalt Jungle) was initially released in 2005 was seminal in that it was the first professional hip-hop LP to be released from Iran, and became a fine example of Iranian arts and culture. Hichkas also, founded 021, Candis and the record label Saamet. Hichkas is working on his highly anticipated second LP, Mojaz.",@hichkasofficial,GB,2019-02-15T19:32:37Z,12753699,69700,False,18
UCjibqVppvIlLK4lbXRsbhhw,Melodifa,4,1,همایون شجریان,Melodifa,"MELODIFA is a reference channel in Persian music on YouTube. 
Subscribe to the Melodifa channel to stay up on the latest news and updates from Persian music.

#melodifa #persiansongs #Iranianmusic",@melodifa,CA,2019-01-13T17:25:55Z,188447718,375000,False,1477
UCFnc_tL9if9l5As18rnAyGA,Mohsen Chavoshi,3,1,محسن چاووشی,Mohsen Chavoshi,"Welcome to the Official Channel Of Mohsen Chavoshi



",@chavoshiofficial,DE,2012-10-05T22:09:31Z,173430665,237000,False,98
UChysexdHBwnvEMDFuKiCUZw,HichkasVEVO,3,1,هیچکس,HichkasVEVO,"Soroush Lashkary better known by his performing name, Hichkas (nobody in Persian) is an Iranian rapper, songwriter, record producer. Dubbed the godfather of Iranian rap and pioneer of Iranian hip-hop genre, Hichkas’s early releases combined traditional Iranian instruments and urban beats to create a hybrid genre, a combination of east and west. Lyrically, Hichkas’s songs are full of idioms, onomatopoeia, similes, alliteration, assonance, metaphors, a play on folk Persian proverbs and themed around social and cultural issues. Hichkas’s first album ‘Jangale Asfalt’ (The Asphalt Jungle) was initially released in 2005 was seminal in that it was the first professional hip-hop LP to be released from Iran, and became a fine example of Iranian arts and culture. His second album the ‘Anjām Vazife’ (The Tour of Duty) EP was released in 2011. In addition to performance, Hichkas founded 021, Candis and the record label Saamet. Hichkas is working on his highly anticipated second LP, Mojaz.",@hichkasvevo,,2017-10-31T10:23:19Z,7215614,3770,False,3
UC6J32FcpsyYA_JGxrEHPbBQ,Alireza Yazdani,2,2,علیرضا قربانی | محسن چاووشی,Alireza Yazdani,"Welcome to my channel! 🎵
Hi, I’m Alireza Yazdani, and this channel is dedicated to Persian remix music with an ambient vibe. Here, you’ll find unique remixes of Persian songs with atmospheric and emotional soundscapes.

‏If you love calm, emotional, and immersive music, don’t forget to subscribe and hit the 🔔notification bell so you never miss a new upload",@alirezayazdanimusic,GB,2025-02-13T23:56:10.979915Z,975584,3160,False,14
UCUR0IBUfM1puV2qa-3m7FWQ,farsiReact,2,2,محسن یگانه | همایون شجریان,farsiReact,ری‌اکشن خارجی ها به آهنگ های ایرانی🤟🤟,@farsireact5359,,2021-03-14T10:18:50.445643Z,7509250,39200,False,12
UCkD9OfpMEjuCHgsWH0aYqRw,Bamzo | بامزو,2,2,سهراب پاکزاد | محسن چاووشی,Bamzo | بامزو,"A world full of laughter, fun and cool things!
From challenges and jokes to funny moments 😎
Every day a new mood, a new video 🎥
یه دنیای پر از خنده، سرگرمی و چیزای باحال!
از چالش و شوخی گرفته تا لحظه‌های خفن 😎
هر روز یه حالِ جدید، یه ویدیو جدید 🎥
",@bamzoofficial,TR,2012-12-16T11:57:24Z,556190962,167000,False,3011
UCpToffK2aE57CCK_uBCNHyA,Fact Music,2,2,سهراب پاکزاد | فرزاد فرزین,Fact Music,"Welcome to the official YouTube channel of Fact Music. Fact Music is a registered TRADEMARK owned by NG Network GmbH.

Fact music will distribute, protect and promote your music on YouTube.


Contact us: 
Email: info@ng-network.com
Tel: +4915213057484
",@factmusic,DE,2016-11-29T07:52:08Z,82846825,186000,False,1339
UC4gRh2WzzbO2gaQepHGUt0Q,radical music,2,1,هیچکس,radical music,"Enjoy

",@radicalmusic6092,CA,2021-09-12T09:29:32.326021Z,1678583,1050,False,423
UC7Hs0659Yc82h7Snhjnfd4g,Avang Music,2,1,ساسی مانکن,Avang Music,"Avang Music's official YouTube channel is the ultimate destination for Persian music fans. As the leader in the Persian music industry, Avang Music offers viewers  with the latest music videos and songs from top Persian artists.

With a vast collection of music and entertainment content, Avang Music's YouTube channel offers a wide variety of playlists for viewers to enjoy. From pop and rock to traditional Persian music, the channel has something for every taste. In addition to music videos, the channel also features live performances, interviews, and behind-the-scenes content that offers a unique look into the Persian music industry.

",@avangmusic,US,2008-04-14T11:06:25Z,1387287736,1150000,False,2588
